"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"65",2006-02-18,40001,NA,NA,NA,NA,45964,NA,NA,NA,NA,37491,NA,NA
"66",2006-02-25,39407,NA,NA,NA,NA,41580,NA,NA,NA,NA,39198,NA,NA
"67",2006-03-04,39071,NA,NA,NA,NA,38426,NA,NA,NA,NA,37864,NA,NA
"68",2006-03-11,39094,NA,NA,NA,NA,34054,NA,NA,NA,NA,32157,NA,NA
"69",2006-03-18,38902,NA,NA,NA,NA,33990,NA,NA,NA,NA,33324,NA,NA
"70",2006-03-25,38712,NA,NA,NA,NA,33926,NA,NA,NA,NA,34629,NA,NA
"71",2006-04-01,38123,NA,NA,NA,NA,38064,NA,NA,NA,NA,45565,NA,NA
"72",2006-04-08,37155,NA,NA,NA,NA,40803,NA,NA,NA,NA,55784,NA,NA
"73",2006-04-15,36745,NA,NA,NA,NA,44898,NA,NA,NA,NA,73337,NA,NA
"74",2006-04-22,35968,NA,NA,NA,NA,46269,NA,NA,NA,NA,77514,NA,NA
"75",2006-04-29,35230,NA,NA,NA,NA,44014,NA,NA,NA,NA,64191,NA,NA
"76",2006-05-06,34186,NA,NA,NA,NA,44033,NA,NA,NA,NA,60677,NA,NA
"77",2006-05-13,33523,NA,NA,NA,NA,44960,NA,NA,NA,NA,58099,NA,NA
"78",2006-05-20,32706,NA,NA,NA,NA,44440,NA,NA,NA,NA,55555,NA,NA
"79",2006-05-27,32154,NA,NA,NA,NA,42772,NA,NA,NA,NA,54316,NA,NA
"80",2006-06-03,31841,NA,NA,NA,NA,41675,NA,NA,NA,NA,51877,NA,NA
"81",2006-06-10,197387,NA,NA,NA,NA,41156,NA,NA,NA,NA,49836,NA,NA
"82",2006-06-17,118431,NA,NA,NA,NA,40751,NA,NA,NA,NA,49281,NA,NA
"83",2006-06-24,98472,NA,NA,NA,NA,40358,NA,NA,NA,NA,48743,NA,NA
"84",2006-07-01,92570,NA,NA,NA,NA,39686,NA,NA,NA,NA,49079,NA,NA
"85",2006-07-08,94128,NA,NA,NA,NA,38485,NA,NA,NA,NA,48289,NA,NA
"86",2006-07-15,88345,NA,NA,NA,NA,37473,NA,NA,NA,NA,47436,NA,NA
"87",2006-07-22,81881,NA,NA,NA,NA,36451,NA,NA,NA,NA,46873,NA,NA
"88",2006-07-29,78125,NA,NA,NA,NA,35934,NA,NA,NA,NA,46875,NA,NA
"89",2006-08-05,70631,NA,NA,NA,NA,34782,NA,NA,NA,NA,46381,NA,NA
